"Lotação Destinatário"|"Ano/Mês Entrega"|"% Entregas no Prazo"|"Qtd. SS"|"Qtd. Entregas"|"Qtd. Entr. Prazo"|
"SUPDE/DERCE/DE4D3"|"2017/03"|1.000000|7|8|8|
"SUPDE/DERCE/DE4D4"|"2017/03"|1.000000|14|14|14|
"SUPDE/DERCE/DE4D5"|"2017/03"|1.000000|5|5|5|
"SUPDE/DERCE/DE4D7"|"2017/03"|1.000000|7|7|7|
"SUPDE/DERCE/DE4D9"|"2017/03"|0.714286|7|7|5|
"SUPDE/DERCE/DEP19"|"2017/03"||1|1||
"SUPDE/DERCE/DE406"|"2017/02"|1.000000|1|1|1|
"SUPDE/DERCE/DE410"|"2017/02"|1.000000|1|1|1|
"SUPDE/DERCE/DE411"|"2017/02"|1.000000|4|4|4|
"SUPDE/DERCE/DE413"|"2017/02"|1.000000|3|3|3|
"SUPDE/DERCE/DE414"|"2017/02"|0.937500|31|32|30|
"SUPDE/DERCE/DE4CT"|"2017/02"|1.000000|4|4|4|
"SUPDE/DERCE/DE4D1"|"2017/02"|1.000000|32|32|32|
"SUPDE/DERCE/DE4D2"|"2017/02"|1.000000|3|3|3|
"SUPDE/DERCE/DE4D3"|"2017/02"|1.000000|5|5|5|
"SUPDE/DERCE/DE4D4"|"2017/02"|1.000000|16|16|16|
"SUPDE/DERCE/DE4D5"|"2017/02"|1.000000|5|5|5|
"SUPDE/DERCE/DE4D6"|"2017/02"|1.000000|1|1|1|
"SUPDE/DERCE/DE4D7"|"2017/02"|1.000000|7|7|7|
"SUPDE/DERCE/DE4D8"|"2017/02"|1.000000|1|1|1|
"SUPDE/DERCE/DE4D9"|"2017/02"|1.000000|3|3|3|
"SUPDE/DERCE/DE402"|"2017/01"|1.000000|1|1|1|
"SUPDE/DERCE/DE410"|"2017/01"|1.000000|3|3|3|
"SUPDE/DERCE/DE411"|"2017/01"|1.000000|7|7|7|
"SUPDE/DERCE/DE414"|"2017/01"|0.852941|33|34|29|
"SUPDE/DERCE/DE4D1"|"2017/01"|0.980000|50|50|49|
"SUPDE/DERCE/DE4D2"|"2017/01"|1.000000|3|3|3|
"SUPDE/DERCE/DE4D4"|"2017/01"|1.000000|23|23|23|
"SUPDE/DERCE/DE4D6"|"2017/01"|1.000000|2|2|2|
"SUPDE/DERCE/DE4D7"|"2017/01"|1.000000|2|2|2|
"SUPDE/DERCE/DE4D8"|"2017/01"|1.000000|2|2|2|
"SUPDE/DERCE/DE4D9"|"2017/01"|0.833333|6|6|5|
